stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_1947_2024,det:azure,4,56.0,56.0,True,130.528,azure:t0+azure:t17+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.429,True,0.3990051020408163,RI-ACCEPT,"t13: 'Reinsurance acceptances' 74,545"
syndicate_1897_2019,det:azure_text_fallback,4,12.4,12.4,True,26.638,azure:t0+azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.466,True,0.8934703433922997,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_2010_2023,det:azure,3,209.4,209.4,True,449.074,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.466,True,0.7691279673857815,RI-ACCEPT,"t12: 'Reinsurance acceptances' 239,640"
syndicate_2468_2016,det:azure,5,77.5,77.5,True,160.179,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.484,True,0.31233631633714876,RI-ACCEPT+SUBTOTAL-DROP,"t5: 'Reinsurance acceptances' 27,368; 'Third party liability' 55,282.0"
syndicate_2010_2024,det:azure,3,209.0,209.0,True,430.736,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.485,True,0.7363508161443191,RI-ACCEPT,"t11: 'Reinsurance acceptances' 221,729"
syndicate_2001_2024,det:azure,7,896.2,896.2,True,1769.448,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.506,True,0.2947822393352059,RI-ACCEPT,"t9: 'Reinsurance acceptances' 873,261"
syndicate_1856_2019,det:azure_text_fallback,3,58.0,58.0,True,106.53,azure:t0+azure:t1+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.544,True,0.4854994054696791,TEXT-NOT-PREMIUM,0/3 adopted amounts are rows of the models' premium table
syndicate_2987_2024,det:azure,5,1561.7,1561.7,True,2862.918,azure:t0+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.545,True,0.3516029224059472,RI-ACCEPT,"t15: 'Reinsurance acceptances' 1,301,227"
syndicate_435_2024,det:azure,10,448.3,448.2,True,821.942,azure:t0+gpt-5-mini:gpw,0.545,True,0.3879585324604884,RI-ACCEPT,"t12: 'Reinsurance acceptances' 373,775"
syndicate_2999_2014,det:azure,7,492.2,492.2,True,887.621,gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.555,False,0.2984042323967835,RI-ACCEPT,"t5: 'Reinsurance acceptances' 395,413"
syndicate_2007_2014,det:azure,4,367.6,367.7,True,659.413,azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.557,False,0.2861088482655486,RI-ACCEPT,"t9: 'Reinsurance acceptances' 291,759"
syndicate_2088_2017,det:azure,3,86.7,86.6,True,155.212,azure:t0+azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.559,False,0.5186307103070552,SPLIT-ROW,"t11: unlabelled row 68,587 under a label-only row"
syndicate_5886_2024,det:azure,7,223.1,223.1,True,393.745,azure:t1+azure:t5+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.567,True,0.5667636999112674,RI-ACCEPT,"t10: 'Reinsurance acceptances' 137,475"
