stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_1897_2018,det:azure_text_fallback,4,50.2,50.2,True,67.924,azure:t0+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.739,True,0.8972721973276964,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_3010_2014,det:azure,3,33.3,33.4,True,45.015,azure:t5+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.74,False,0.8118839560281002,RI-ACCEPT,"t11: 'Reinsurance acceptances' 11,660"
syndicate_4242_2021,det:azure_text_fallback,5,231.5,231.6,True,311.683,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.743,True,0.5079630822358718,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_318_2022,det:azure,5,186.9,186.9,True,250.4,azure:t6+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.746,True,0.7473480108949239,RI-ACCEPT,"t18: 'Reinsurance acceptances' 63,524"
syndicate_318_2021,det:azure,5,133.9,133.9,True,179.206,azure:t6+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.747,True,0.7745499330304538,RI-ACCEPT,"t18: 'Reinsurance acceptances' 45,282"
syndicate_2488_2015,det:azure,5,282.2,282.2,True,377.516,azure:t0+azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.748,True,0.3184578895897929,RI-ACCEPT,"t10: 'Reinsurance acceptances' 95,315"
syndicate_4747_2023,det:azure_text_fallback,3,68.9,69.0,True,92.087,azure:t2+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.748,True,0.554948692685387,TEXT-MIXED,2/3 adopted amounts are rows of the models' premium table
syndicate_1861_2016,det:azure_text_fallback,6,195.9,196.0,True,259.118,azure:t0+azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.756,True,0.26963288506783134,TEXT-PARTIAL,6/6 adopted amounts are rows of the models' premium table
syndicate_1218_2021,det:azure,4,195.2,195.1,True,257.684,gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.758,True,0.7048627166562489,RI-ACCEPT,"t2: 'Reinsurance acceptances' 62,535"
syndicate_386_2020,det:azure,1,282.9,282.9,True,373.1,azure:t1+azure:t2+azure:t45+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.758,True,1.0,RI-ACCEPT,t7: 'Reinsurance acceptances' 90.2
syndicate_1218_2022,det:azure,4,204.1,204.0,True,268.7,gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.76,True,0.6372636429518115,RI-ACCEPT,"t2: 'Reinsurance acceptances' 64,655"
syndicate_2007_2015,det:azure,6,600.5,600.5,True,789.338,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.761,True,0.28706499787507084,RI-ACCEPT,"t13: 'Reinsurance acceptances' 188,834"
syndicate_2988_2022,det:azure,5,192.8,192.8,True,252.2,azure:t0+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.764,True,0.5298693849968148,SUBTOTAL-DROP,t14: 'Third party liability' 59.4
syndicate_1225_2015,det:azure,4,254.8,254.8,True,332.9,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw,0.765,True,0.36374614448101217,RI-ACCEPT,t1: 'Reinsurance acceptances' 78.1
syndicate_2488_2016,det:azure,5,311.7,311.5,True,407.504,azure:t0+azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.765,True,0.3636502774018394,RI-ACCEPT,"t13: 'Reinsurance acceptances' 95,963"
syndicate_4242_2023,det:azure_text_fallback,5,337.8,337.8,True,439.636,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.768,True,0.4466237672734208,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_623_2024,det:azure,4,805.9,805.9,True,1048.713,azure:t8+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.768,True,0.3596882995354354,RI-ACCEPT,"t22: 'Reinsurance acceptances' 242,791"
syndicate_2623_2024,det:azure,4,2258.8,2258.8,True,2926.933,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.772,True,0.3608341304570545,RI-ACCEPT,"t7: 'Reinsurance acceptances' 668,086"
syndicate_386_2022,det:azure,1,353.6,353.6,True,456.8,azure:t1+azure:t2+azure:t37+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.774,True,1.0,RI-ACCEPT,t7: 'Reinsurance acceptances' 103.2
syndicate_1225_2016,det:azure,4,292.8,292.8,True,376.7,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw,0.777,False,0.365798284511332,RI-ACCEPT,t4: 'Reinsurance acceptances' 83.9
syndicate_2786_2022,det:azure_text_fallback,5,149.3,149.2,True,191.701,azure:t2+azure:t4+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.779,True,0.643929872019221,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_1458_2023,det:azure_text_fallback,4,806.2,806.2,True,1033.9,azure:t0+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.78,True,0.5021949711123068,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_2468_2019,det:azure,6,339.7,339.7,True,435.443,azure:t1+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.78,True,0.30276547919879804,RI-ACCEPT,"t7: 'Reinsurance acceptances' 95,756"
syndicate_386_2023,det:azure,1,327.4,327.4,True,415.2,azure:t1+azure:t2+azure:t37+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.789,True,1.0,RI-ACCEPT,t7: 'Reinsurance acceptances' 87.8
syndicate_2488_2017,det:azure,5,365.5,365.6,True,459.524,azure:t0+azure:t1+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.795,True,0.3495397071305647,RI-ACCEPT,"t13: 'Reinsurance acceptances' 93,938"
syndicate_1861_2018,det:azure_text_fallback,6,492.4,492.4,True,616.207,azure:t0+azure:t1+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.799,True,0.25929473241029694,TEXT-PARTIAL,6/6 adopted amounts are rows of the models' premium table
