series,index,value
Raw market,214,-0.02068
Raw market,215,-0.020268
Raw market,216,-0.020086
Raw market,217,-0.019932
Raw market,218,-0.019884
Raw market,219,-0.019776
Raw market,220,-0.0197
Raw market,221,-0.019485
Raw market,222,-0.019283
Raw market,223,-0.018481
Raw market,224,-0.018032
Raw market,225,-0.017868
Raw market,226,-0.017358
Raw market,227,-0.017107
Raw market,228,-0.017102
Raw market,229,-0.016514
Raw market,230,-0.016219
Raw market,231,-0.01609
Raw market,232,-0.015774
Raw market,233,-0.015683
Raw market,234,-0.015458
Raw market,235,-0.015308
Raw market,236,-0.015041
Raw market,237,-0.014172
Raw market,238,-0.013754
Raw market,239,-0.013372
Raw market,240,-0.013213
Raw market,241,-0.013143
Raw market,242,-0.012999
Raw market,243,-0.012704
Raw market,244,-0.012506
Raw market,245,-0.012242
Raw market,246,-0.011919
Raw market,247,-0.011875
Raw market,248,-0.01153
Raw market,249,-0.010265
Raw market,250,-0.01024
Raw market,251,-0.009868
Raw market,252,-0.008418
Raw market,253,-0.008294
Raw market,254,-0.008204
Raw market,255,-0.008173
Raw market,256,-0.008154
Raw market,257,-0.007905
Raw market,258,-0.007802
Raw market,259,-0.007223
Raw market,260,-0.007071
Raw market,261,-0.006848
Raw market,262,-0.006739
Raw market,263,-0.006697
Raw market,264,-0.006651
Raw market,265,-0.006384
Raw market,266,-0.006165
Raw market,267,-0.005634
Raw market,268,-0.005269
Raw market,269,-0.00476
Raw market,270,-0.004518
Raw market,271,-0.004482
Raw market,272,-0.004119
Raw market,273,-0.003926
Raw market,274,-0.003635
Raw market,275,-0.003437
Raw market,276,-0.003094
Raw market,277,-0.002633
Raw market,278,-0.002628
Raw market,279,-0.00247
Raw market,280,-0.002291
Raw market,281,-0.001908
Raw market,282,-0.00172
Raw market,283,-0.001702
Raw market,284,-0.001385
Raw market,285,-0.00137
Raw market,286,-0.001358
Raw market,287,-0.00133
Raw market,288,-0.001082
Raw market,289,-0.000914
Raw market,290,-0.000564
Raw market,291,-0.000456
Raw market,292,-0.000425
Raw market,293,-7e-06
Raw market,294,0.0
Raw market,295,0.0
Raw market,296,5e-06
Raw market,297,9.3e-05
Raw market,298,0.000293
Raw market,299,0.000522
Raw market,300,0.000687
Raw market,301,0.000843
Raw market,302,0.001681
Raw market,303,0.002113
Raw market,304,0.002155
Raw market,305,0.00272
Raw market,306,0.00295
Raw market,307,0.002998
Raw market,308,0.003455
Raw market,309,0.003769
Raw market,310,0.003788
Raw market,311,0.003948
Raw market,312,0.004497
Raw market,313,0.004622
Raw market,314,0.004717
Raw market,315,0.004779
Raw market,316,0.004912
Raw market,317,0.005429
Raw market,318,0.00593
Raw market,319,0.006394
Raw market,320,0.0071
Raw market,321,0.007419
Raw market,322,0.007582
Raw market,323,0.008029
Raw market,324,0.008069
Raw market,325,0.008397
Raw market,326,0.008514
Raw market,327,0.008544
Raw market,328,0.008594
Raw market,329,0.008658
Raw market,330,0.009011
Raw market,331,0.009165
Raw market,332,0.009428
Raw market,333,0.009578
Raw market,334,0.009774
Raw market,335,0.009811
Raw market,336,0.010226
Raw market,337,0.010518
Raw market,338,0.010943
Raw market,339,0.011326
Raw market,340,0.01145
Raw market,341,0.011715
Raw market,342,0.011815
Raw market,343,0.011999
Raw market,344,0.012035
Raw market,345,0.012336
Raw market,346,0.012427
Raw market,347,0.012431
Raw market,348,0.012657
Raw market,349,0.013023
Raw market,350,0.013641
Raw market,351,0.013714
Raw market,352,0.013903
Raw market,353,0.01393
Raw market,354,0.014018
Raw market,355,0.01417
Raw market,356,0.014731
Raw market,357,0.015107
Raw market,358,0.015107
Raw market,359,0.015349
Raw market,360,0.015553
Raw market,361,0.016031
Raw market,362,0.016343
Raw market,363,0.016345
Raw market,364,0.016441
Raw market,365,0.016545
Raw market,366,0.017135
Raw market,367,0.017276
Raw market,368,0.017776
Raw market,369,0.018257
Raw market,370,0.018505
Raw market,371,0.018629
Raw market,372,0.018757
Raw market,373,0.018801
Raw market,374,0.018847
Raw market,375,0.018931
Raw market,376,0.019049
Raw market,377,0.019463
Raw market,378,0.01962
Raw market,379,0.019953
Raw market,380,0.020186
Raw market,381,0.020359
