distribution_label,n_total,n_adverse,mean,standard_deviation,q75,var99,var995
Raw market,685,376,0.024576,0.135997,0.061784,0.672434,0.711338
Adjusted target,685,376,0.014633,0.070307,0.04982,0.230509,0.277584
raw→adjusted delta,,,-0.009943,-0.06569,-0.011964,-0.441925,-0.433754
