selection_type,observation_id,syndicate_id,report_year,opening_reserves,signed_pyd_amount,signed_pyd_ratio,hhi,hellinger_distance,log_reserve_ratio_to_target,selection_reason
size_mismatch,3334_2017,3334,2017,62.137,5.129,0.08254341213769573,0.20850168353321502,0.595927,-2.085266,Max |log(R_i/R_q)| within HHI tolerance
mix_mismatch,1910_2019,1910,2019,416.6,5.0,0.01200192030724916,0.9803474363986653,0.974776,-0.182482,Max Hellinger distance within size tolerance
