donor_observation_id,S_raw,S_size_old,S_adj_old,S_size_new,S_adj_new
1274_2019,-0.006651,-0.006514,-0.006238,-0.00697,-0.006757
1274_2020,0.128976,0.125704,0.119965,0.134527,0.129947
1274_2021,0.067364,0.067332,0.063797,0.072073,0.069105
1274_2022,0.03815,0.039478,0.037396,0.042258,0.040507
1274_2023,0.054595,0.055535,0.052694,0.059443,0.057079
1274_2024,0.046785,0.048757,0.047211,0.052157,0.051139
1301_2015,-0.142042,-0.066871,-0.065791,-0.071498,-0.071265
1301_2016,-0.098651,-0.053135,-0.052289,-0.056811,-0.056639
1301_2017,0.378466,0.236153,0.232193,0.252497,0.251512
1301_2018,0.135669,0.093947,0.090548,0.100511,0.098082
1301_2019,0.117496,0.092266,0.089513,0.098693,0.096961
1301_2020,-0.01424,-0.011024,-0.010826,-0.011788,-0.011726
1301_2022,-0.062429,-0.051463,-0.050802,-0.055018,-0.055029
1301_2023,0.028098,0.025825,0.025088,0.027622,0.027175
1301_2024,-0.079968,-0.072384,-0.069642,-0.077446,-0.075437
1400_2015,-0.062413,-0.045088,-0.043701,-0.04823,-0.047338
1414_2015,-0.030938,-0.025468,-0.025002,-0.027232,-0.027082
1414_2016,-0.000425,-0.000353,-0.000341,-0.000378,-0.00037
1414_2017,0.016545,0.014667,0.014381,0.015684,0.015578
1414_2018,0.030158,0.030423,0.02954,0.032541,0.031998
1414_2019,-0.044005,-0.0457,-0.045146,-0.048855,-0.048902
1414_2020,0.049478,0.048162,0.046839,0.051513,0.050737
1414_2021,0.091434,0.088486,0.086178,0.094639,0.093348
1414_2022,0.099073,0.104821,0.099796,0.112187,0.1081
1414_2023,0.049728,0.059298,0.056593,0.06346,0.061302
1414_2024,-0.008082,-0.009825,-0.009717,-0.010503,-0.010526
1416_2023,0.106564,0.024453,0.023497,0.026164,0.025452
1416_2024,-0.006512,-0.002114,-0.00202,-0.002263,-0.002188
1458_2014,-0.067799,-0.035469,-0.033924,-0.037956,-0.036746
1458_2015,-0.006165,-0.003666,-0.00352,-0.003923,-0.003813
1458_2016,-0.015308,-0.010263,-0.009848,-0.010982,-0.010667
1458_2019,0.06179,0.06552,0.063573,0.070083,0.068863
1458_2020,0.04427,0.048199,0.046927,0.051551,0.050832
1458_2021,0.032827,0.038087,0.036966,0.04074,0.040042
1458_2022,0.003948,0.004848,0.00471,0.005186,0.005102
1458_2023,-0.038625,-0.049441,-0.046917,-0.05292,-0.050821
1458_2024,-0.016219,-0.020115,-0.019406,-0.02152,-0.02102
1492_2018,-0.486777,-0.208195,-0.201937,-0.222698,-0.218739
1492_2019,0.11394,0.053488,0.052045,0.057209,0.056375
1492_2021,0.034047,0.019612,0.019043,0.020978,0.020627
1492_2022,0.019049,0.011621,0.011279,0.01243,0.012218
1492_2023,-0.057672,-0.038968,-0.037339,-0.041698,-0.040445
1492_2024,-0.065372,-0.043248,-0.042094,-0.046256,-0.045596
1609_2024,-0.000914,-0.000521,-0.000497,-0.000558,-0.000538
1618_2023,-0.008173,-0.006221,-0.006068,-0.006653,-0.006573
1618_2024,-0.018032,-0.016272,-0.015617,-0.017412,-0.016916
1686_2016,-0.007223,-0.003832,-0.003812,-0.004096,-0.004129
1686_2017,0.106852,0.059673,0.059221,0.063784,0.064148
1686_2018,0.040915,0.029878,0.028431,0.031978,0.030797
1686_2019,0.005429,0.004297,0.004108,0.004598,0.00445
1686_2020,0.074248,0.064898,0.062165,0.069446,0.067338
1686_2022,-0.009868,-0.012564,-0.012036,-0.013445,-0.013037
1686_2023,0.05496,0.068461,0.065634,0.073256,0.071095
1686_2024,-0.068817,-0.087606,-0.085076,-0.093706,-0.092154
1699_2024,-0.13472,-0.05288,-0.049823,-0.056612,-0.053969
1729_2016,0.030697,0.008825,0.00862,0.009438,0.009338
1729_2017,0.008029,0.003055,0.002999,0.003266,0.003248
1729_2018,0.061784,0.028138,0.027468,0.030092,0.029754
1729_2019,0.067644,0.033964,0.033118,0.036324,0.035874
1729_2020,0.0555,0.029424,0.028755,0.031466,0.031147
1729_2021,0.02048,0.0116,0.011343,0.012405,0.012287
1729_2022,0.075876,0.046436,0.045325,0.049661,0.049096
1729_2024,0.21126,0.150531,0.147347,0.160973,0.159607
1796_2023,-0.121475,-0.006272,-0.005712,-0.006721,-0.006188
1796_2024,0.405497,0.051776,0.047218,0.055481,0.051147
1840_2023,0.454545,0.018928,0.01746,0.020276,0.018912
1840_2024,0.010625,0.001533,0.001465,0.001641,0.001587
1856_2018,0.648021,0.299105,0.287096,0.320044,0.310983
1856_2019,0.002998,0.001799,0.001711,0.001926,0.001853
1856_2020,-0.338506,-0.203203,-0.196444,-0.217381,-0.212789
1856_2021,-0.112227,-0.061322,-0.058514,-0.065626,-0.063383
1856_2022,0.009165,0.005282,0.005037,0.005653,0.005456
1856_2023,0.052398,0.040868,0.038818,0.043742,0.042047
1856_2024,0.234669,0.197801,0.187787,0.211717,0.203412
1861_2015,-0.021835,-0.014046,-0.013287,-0.015036,-0.014392
1861_2016,0.120448,0.075412,0.074298,0.080626,0.08048
1861_2017,0.112861,0.083236,0.081767,0.089,0.08857
1861_2018,0.022543,0.017673,0.017452,0.018893,0.018904
1861_2019,0.043468,0.037524,0.037115,0.040114,0.040203
1861_2020,0.782212,0.648648,0.620261,0.694134,0.671869
1861_2021,0.044773,0.044246,0.042832,0.047331,0.046396
1861_2022,0.018257,0.014365,0.01383,0.015369,0.014981
1880_2014,-0.0781,-0.045577,-0.042189,-0.048818,-0.045699
1880_2015,-0.043381,-0.022942,-0.021331,-0.024571,-0.023106
1880_2016,-0.097649,-0.056274,-0.052429,-0.060265,-0.056792
1880_2017,0.008594,0.005587,0.005202,0.005984,0.005635
1880_2018,0.028398,0.01942,0.017995,0.0208,0.019493
1880_2022,-0.141401,-0.109723,-0.106863,-0.117352,-0.115755
1880_2023,0.0404,0.034596,0.033591,0.037004,0.036385
1880_2024,0.051449,0.043453,0.04197,0.046487,0.045462
1882_2016,0.066914,0.03688,0.035824,0.039447,0.038805
1882_2017,0.093237,0.056292,0.053722,0.060243,0.058192
1884_2017,0.012657,0.004403,0.00425,0.004711,0.004604
1884_2018,0.018629,0.009056,0.00886,0.009685,0.009597
1884_2019,0.090958,0.047765,0.046415,0.051089,0.050277
1884_2020,0.0071,0.003569,0.003442,0.003818,0.003729
1884_2021,-0.272694,-0.115228,-0.108606,-0.123361,-0.117642
1884_2022,0.01417,0.013171,0.01204,0.014113,0.013042
1884_2023,0.058836,0.053811,0.049515,0.057648,0.053635
1884_2024,0.103451,0.085306,0.081488,0.091291,0.088268
1897_2015,-0.031814,-0.013288,-0.012481,-0.014227,-0.013519
1897_2017,0.063808,0.03146,0.02978,0.033677,0.032258
