donor_observation_id,S_raw,S_size_old,S_adj_old,S_size_new,S_adj_new
3000_2016,0.037031,0.036077,0.034588,0.038603,0.037466
3000_2018,0.01393,0.016116,0.01548,0.017244,0.016768
3000_2019,0.015107,0.017265,0.016601,0.018473,0.017982
3000_2020,0.021918,0.024376,0.023344,0.026084,0.025286
3000_2021,0.027528,0.031097,0.029886,0.033273,0.032373
3000_2022,0.098237,0.109876,0.105765,0.117558,0.114565
3000_2023,-0.019283,-0.02245,-0.021527,-0.024023,-0.023318
3000_2024,-0.041791,-0.047636,-0.046136,-0.050957,-0.049975
3002_2019,0.160025,0.048374,0.044003,0.05184,0.047664
3010_2015,0.292707,0.084374,0.081231,0.090272,0.08799
3010_2016,0.363732,0.11576,0.108481,0.123951,0.117507
3010_2017,0.224867,0.074281,0.072108,0.079453,0.078108
3010_2018,0.366962,0.125933,0.119229,0.134804,0.129149
3010_2019,0.438596,0.152367,0.147189,0.163002,0.159436
3010_2020,0.314593,0.116811,0.112514,0.124975,0.121876
3010_2021,0.356296,0.145002,0.143024,0.155022,0.154924
3010_2022,0.276782,0.131337,0.127499,0.140483,0.138107
3010_2023,0.559397,0.34954,0.339011,0.373891,0.367218
318_2015,-0.093749,-0.051556,-0.047324,-0.055235,-0.051262
318_2016,-0.102953,-0.054667,-0.050096,-0.058572,-0.054265
318_2017,-0.075267,-0.043758,-0.040095,-0.046883,-0.043431
318_2018,-0.05281,-0.036157,-0.033047,-0.038742,-0.035797
318_2019,-0.014399,-0.009782,-0.008945,-0.010481,-0.009689
318_2020,-0.068657,-0.041273,-0.037794,-0.044222,-0.040939
318_2021,-0.105754,-0.064327,-0.059445,-0.068905,-0.064391
318_2022,-0.005484,-0.003373,-0.003124,-0.003613,-0.003384
318_2023,-0.045359,-0.031092,-0.028948,-0.033298,-0.031356
318_2024,-0.309011,-0.196441,-0.186967,-0.210245,-0.202524
3210_2015,-0.059446,-0.052749,-0.052182,-0.056389,-0.056524
3210_2016,0.014841,0.012927,0.012773,0.01382,0.013835
3210_2017,0.077578,0.073099,0.070933,0.078191,0.076835
3268_2020,0.059323,0.02468,0.023068,0.026428,0.024987
3268_2021,0.013094,0.006544,0.006153,0.007006,0.006665
3330_2017,-0.070418,-0.015566,-0.014518,-0.01667,-0.015726
3330_2018,0.017776,0.003643,0.003341,0.003903,0.003619
3334_2014,0.206803,0.060372,0.05824,0.064589,0.063086
3334_2015,0.195388,0.060119,0.057588,0.064332,0.062379
3334_2016,0.620194,0.202861,0.196583,0.217,0.21294
3334_2017,0.082543,0.033064,0.033078,0.035332,0.03583
3334_2018,0.476745,0.242545,0.241817,0.259217,0.261937
3334_2019,0.200683,0.109955,0.110139,0.117495,0.119303
33_2015,-0.068784,-0.078869,-0.077349,-0.084335,-0.083785
33_2016,-0.05966,-0.067919,-0.066701,-0.072623,-0.072251
33_2017,-0.045482,-0.055103,-0.053736,-0.058932,-0.058207
33_2019,0.022324,0.029381,0.028801,0.031417,0.031197
33_2020,-0.035699,-0.049606,-0.048627,-0.053044,-0.052673
33_2021,-0.059927,-0.084874,-0.082969,-0.090765,-0.089872
33_2022,-0.076507,-0.110879,-0.108372,-0.118576,-0.117389
33_2023,-0.03485,-0.049682,-0.048451,-0.053134,-0.052482
33_2024,-0.015683,-0.022419,-0.021396,-0.023993,-0.023176
3500_2015,0.008514,0.004198,0.003984,0.004493,0.004316
3500_2019,0.10179,0.069138,0.066221,0.073983,0.071731
3500_2021,0.141591,0.12662,0.119711,0.135545,0.129672
3500_2022,-0.111555,-0.148753,-0.145601,-0.159071,-0.157716
3500_2023,-0.01609,-0.021946,-0.021005,-0.023485,-0.022753
3623_2014,-0.017358,-0.010078,-0.009554,-0.010787,-0.010349
3623_2017,0.008377,0.005512,0.005155,0.005903,0.005584
3623_2019,0.022121,0.014374,0.013494,0.01539,0.014616
3623_2024,-0.122572,-0.09441,-0.09053,-0.101022,-0.098062
3624_2015,-0.002628,-0.001986,-0.001959,-0.002124,-0.002122
3624_2016,-0.043247,-0.034138,-0.033658,-0.036497,-0.036458
3624_2017,-0.011199,-0.00981,-0.009412,-0.010497,-0.010195
3624_2018,-0.028139,-0.02568,-0.023966,-0.0275,-0.02596
3624_2019,0.103942,0.09502,0.087162,0.101804,0.094414
3624_2020,0.145554,0.133213,0.122214,0.142724,0.132383
3624_2021,-0.022306,-0.022254,-0.020499,-0.023841,-0.022205
3624_2022,0.087156,0.086808,0.079544,0.093008,0.086163
3624_2023,0.08192,0.079061,0.072397,0.08471,0.07842
3624_2024,-0.002291,-0.002198,-0.002089,-0.002353,-0.002263
382_2014,0.000687,0.00046,0.000439,0.000493,0.000475
382_2015,-0.067328,-0.044155,-0.042538,-0.047241,-0.046078
382_2016,-0.201101,-0.134542,-0.128132,-0.143994,-0.138793
382_2017,0.143233,0.107355,0.101634,0.114917,0.110091
382_2018,-0.003635,-0.002941,-0.002811,-0.003147,-0.003045
382_2019,-0.046377,-0.039496,-0.037652,-0.04227,-0.040784
382_2021,0.040975,0.035005,0.033427,0.037461,0.036208
382_2022,0.068601,0.05862,0.056198,0.062726,0.060874
382_2023,-0.012506,-0.011576,-0.011162,-0.012385,-0.01209
382_2024,-0.026328,-0.024513,-0.023798,-0.026219,-0.025778
386_2019,0.078084,0.088688,0.080674,0.095042,0.087386
386_2020,0.035117,0.040471,0.036814,0.043371,0.039877
386_2021,-0.001358,-0.001566,-0.001424,-0.001678,-0.001543
386_2022,0.081758,0.09467,0.086115,0.101452,0.09328
386_2023,0.044556,0.05263,0.047874,0.0564,0.051857
386_2024,0.035655,0.042157,0.038348,0.045177,0.041538
3902_2019,-0.022209,-0.008369,-0.008096,-0.008953,-0.00877
3902_2020,-0.143799,-0.055383,-0.053825,-0.059238,-0.058304
3902_2021,-0.072316,-0.033163,-0.032254,-0.03547,-0.034938
3902_2022,-0.399832,-0.188945,-0.182745,-0.202126,-0.19795
3902_2023,-0.039607,-0.022753,-0.021966,-0.024342,-0.023793
3902_2024,-0.06532,-0.03925,-0.037906,-0.04199,-0.04106
4000_2015,0.022891,0.016308,0.016138,0.017433,0.017481
4000_2016,0.16241,0.119595,0.11673,0.127902,0.126442
4000_2017,0.039595,0.03291,0.032144,0.035195,0.034819
4000_2018,0.033481,0.029147,0.028628,0.031165,0.03101
4000_2019,0.062129,0.05716,0.056296,0.061113,0.06098
4000_2020,0.10427,0.094858,0.093076,0.10143,0.100821
4000_2021,0.053316,0.049281,0.048079,0.052705,0.052079
4000_2022,0.07887,0.061141,0.059585,0.065391,0.064543
4000_2023,-0.025534,-0.024894,-0.024465,-0.026617,-0.0265
4000_2024,-0.004197,-0.004173,-0.004008,-0.004466,-0.004342
4020_2015,0.032784,0.027621,0.026207,0.029564,0.028388
4020_2016,0.041243,0.033956,0.032098,0.036349,0.034769
4020_2017,0.03374,0.029101,0.02776,0.031144,0.03007
4020_2018,0.109871,0.093787,0.089196,0.100381,0.096618
4020_2019,-0.00833,-0.007039,-0.006883,-0.007528,-0.007456
4020_2020,-0.021376,-0.017189,-0.016691,-0.018386,-0.01808
4020_2021,-0.037668,-0.034285,-0.033055,-0.036681,-0.035806
4020_2022,-0.101922,-0.085867,-0.083214,-0.091851,-0.090138
4020_2023,-0.064949,-0.057783,-0.055735,-0.061819,-0.060372
4020_2024,-0.083679,-0.07261,-0.07052,-0.077665,-0.076387
4141_2015,0.015553,0.008745,0.00834,0.009359,0.009034
4141_2016,0.029588,0.016179,0.015428,0.017315,0.016711
4141_2018,-0.05131,-0.029985,-0.028727,-0.032086,-0.031117
4141_2019,0.124167,0.070643,0.067916,0.075585,0.073567
4141_2020,0.117846,0.065717,0.062966,0.070321,0.068205
4141_2021,0.12397,0.078716,0.075986,0.084212,0.082309
4141_2022,-0.0672,-0.044961,-0.043421,-0.0481,-0.047034
4141_2023,-0.059318,-0.039496,-0.038064,-0.042255,-0.041231
4141_2024,-0.041713,-0.02679,-0.026428,-0.028641,-0.028627
4242_2015,-0.146956,-0.023449,-0.02161,-0.025119,-0.023408
4242_2016,-0.006848,-0.001311,-0.001209,-0.001405,-0.001309
4242_2017,0.026545,0.007069,0.006516,0.007573,0.007058
4242_2018,0.235662,0.109193,0.09957,0.117008,0.107855
4242_2019,0.042735,0.029063,0.027207,0.031121,0.029471
4242_2020,0.056785,0.032888,0.030986,0.03521,0.033564
4242_2021,0.022011,0.016087,0.015255,0.017219,0.016524
4242_2023,-0.019485,-0.01376,-0.013151,-0.014725,-0.014245
4242_2024,-0.640863,-0.471664,-0.453836,-0.504646,-0.491597
435_2015,-0.016514,-0.014938,-0.014047,-0.015993,-0.015216
435_2016,-0.067855,-0.063431,-0.059415,-0.06792,-0.064359
435_2017,-0.041281,-0.040308,-0.038051,-0.043151,-0.041217
435_2018,-0.004482,-0.004835,-0.004559,-0.005176,-0.004938
435_2019,-0.046705,-0.053216,-0.050545,-0.05696,-0.05475
435_2020,-0.050126,-0.057492,-0.054518,-0.061539,-0.059054
435_2021,-0.079972,-0.09082,-0.086468,-0.097201,-0.093662
435_2022,-0.035986,-0.041004,-0.039155,-0.043881,-0.042413
435_2023,-0.025829,-0.030224,-0.028829,-0.032345,-0.031228
435_2024,-0.044238,-0.051713,-0.05018,-0.055314,-0.054356
4444_2015,-0.015458,-0.016029,-0.016042,-0.017129,-0.017376
4444_2016,0.004779,0.004979,0.004989,0.00532,0.005404
4444_2017,0.098474,0.111378,0.111329,0.119023,0.120592
4444_2018,0.057253,0.069575,0.069603,0.07435,0.075395
4444_2019,0.006394,0.008272,0.008232,0.008841,0.008917
4444_2021,0.013641,0.017434,0.016752,0.018654,0.018146
4444_2023,0.020359,0.027871,0.026807,0.02982,0.029037
4444_2024,-0.028073,-0.038974,-0.038003,-0.041682,-0.041165
4472_2015,-0.006739,-0.009266,-0.009068,-0.009909,-0.009822
4472_2016,0.007582,0.0108,0.010428,0.011554,0.011296
4472_2017,0.028186,0.039098,0.037629,0.041832,0.04076
4472_2018,0.022008,0.032256,0.030987,0.034514,0.033565
4472_2019,0.056702,0.082303,0.079152,0.08806,0.085737
4472_2020,0.088889,0.129313,0.125737,0.138311,0.136199
4472_2021,0.037855,0.055833,0.053952,0.05973,0.058441
4472_2022,-0.000456,-0.000674,-0.000652,-0.000722,-0.000707
4472_2023,0.064643,0.099076,0.095798,0.105988,0.103769
4472_2024,0.056242,0.086213,0.083354,0.092229,0.090289
457_2017,0.095842,0.093666,0.090551,0.100201,0.098085
457_2019,0.096309,0.091423,0.088753,0.097789,0.096137
457_2020,-0.065498,-0.06237,-0.061141,-0.066693,-0.066228
457_2021,-0.078576,-0.08069,-0.079655,-0.086264,-0.086282
457_2022,-0.073804,-0.077243,-0.076237,-0.082579,-0.08258
457_2023,-0.071214,-0.081036,-0.079793,-0.086641,-0.086432
457_2024,0.009428,0.010808,0.010607,0.011557,0.011489
4711_2017,-0.018481,-0.016886,-0.016081,-0.018072,-0.017419
4711_2018,0.128021,0.119463,0.114003,0.127848,0.123489
4711_2019,0.074371,0.074293,0.0707,0.079514,0.076582
4711_2020,0.014731,0.014989,0.014219,0.016044,0.015402
4711_2021,0.15559,0.162813,0.154589,0.174267,0.167451
4711_2022,0.031327,0.034044,0.03237,0.036437,0.035063
4711_2024,-0.055064,-0.065773,-0.062846,-0.070386,-0.068075
4747_2022,0.40983,0.063691,0.060138,0.068183,0.065142
4747_2023,0.303016,0.076547,0.072199,0.081948,0.078206
5000_2015,0.038316,0.029539,0.02964,0.031563,0.032106
5000_2016,-0.070228,-0.05287,-0.052841,-0.0565,-0.057237
5000_2017,-0.522603,-0.396096,-0.389474,-0.42351,-0.42188
5000_2018,0.090348,0.07342,0.073564,0.078454,0.079685
5000_2019,0.145291,0.121972,0.12125,0.130368,0.131339
5000_2020,0.016343,0.014148,0.014072,0.015122,0.015242
5000_2021,0.047141,0.041025,0.040906,0.043845,0.04431
5000_2022,0.082479,0.07198,0.071802,0.076926,0.077776
5000_2023,0.023483,0.021704,0.021617,0.023196,0.023415
5000_2024,-0.011919,-0.010776,-0.01048,-0.011525,-0.011352
510_2014,-0.032114,-0.034202,-0.033228,-0.036583,-0.035993
510_2015,9.3e-05,0.000102,9.9e-05,0.000109,0.000107
510_2016,0.001681,0.001841,0.001783,0.00197,0.001932
510_2017,-0.007802,-0.009068,-0.0088,-0.009699,-0.009532
510_2019,-0.020529,-0.025545,-0.024611,-0.02733,-0.026659
510_2020,0.008397,0.01023,0.010038,0.010939,0.010873
510_2021,-0.047318,-0.059901,-0.058478,-0.064062,-0.063343
510_2022,-0.134794,-0.170976,-0.166869,-0.182851,-0.180753
510_2023,0.078855,0.105362,0.102318,0.112698,0.110831
510_2024,0.100571,0.135766,0.1241,0.145473,0.134426
5151_2014,-0.097208,-0.060489,-0.058424,-0.064712,-0.063285
5151_2015,-0.077346,-0.050541,-0.049091,-0.05406,-0.053176
5151_2016,0.061844,0.041316,0.041255,0.044154,0.044688
5151_2017,-0.037777,-0.02722,-0.026577,-0.029111,-0.028788
5151_2019,-0.15197,-0.12895,-0.127151,-0.137863,-0.137731
5623_2022,-0.020086,-0.010104,-0.009703,-0.010811,-0.01051
5623_2024,-0.058476,-0.040842,-0.039622,-0.043688,-0.042919
5678_2016,0.009811,0.004449,0.004282,0.00476,0.004638
5678_2017,0.00295,0.001471,0.001434,0.001573,0.001553
5678_2019,0.07331,0.044814,0.043867,0.047922,0.047517
5820_2014,0.766248,0.319021,0.3022,0.341487,0.327344
5820_2015,0.178974,0.073018,0.069295,0.078156,0.07506
5820_2017,0.103119,0.046473,0.04373,0.049756,0.047368
5820_2019,0.245733,0.110384,0.104145,0.118171,0.11281
5886_2019,0.051423,0.026625,0.024892,0.028511,0.026964
5886_2020,-0.01024,-0.005686,-0.005344,-0.006088,-0.005788
5886_2021,0.035039,0.020754,0.019411,0.022224,0.021026
5886_2022,0.013714,0.009197,0.008551,0.00985,0.009263
5886_2023,0.010226,0.007952,0.007524,0.008512,0.00815
5886_2024,-0.00476,-0.003509,-0.00337,-0.003755,-0.00365
609_2015,-0.08824,-0.077835,-0.077398,-0.083192,-0.083838
609_2017,-0.103685,-0.098417,-0.098125,-0.105181,-0.10629
609_2018,-0.048681,-0.046677,-0.046448,-0.049888,-0.050313
609_2019,-0.061195,-0.059785,-0.059191,-0.063909,-0.064116
609_2020,-0.038732,-0.036889,-0.036636,-0.039429,-0.039684
609_2021,-0.025629,-0.02491,-0.024541,-0.026632,-0.026583
609_2022,0.014018,0.013961,0.013744,0.014926,0.014888
609_2023,0.130821,0.147084,0.144362,0.157272,0.156374
609_2024,0.151419,0.174921,0.171998,0.187027,0.186309
6103_2016,-0.734523,-0.055687,-0.050655,-0.059676,-0.054869
6103_2019,0.057135,0.011411,0.01038,0.012229,0.011244
6103_2023,-0.029174,-0.011276,-0.010257,-0.012083,-0.01111
6105_2015,0.018847,0.004298,0.004079,0.0046,0.004419
6107_2019,0.173105,0.072649,0.066084,0.077853,0.071582
6107_2022,-0.0234,-0.011919,-0.011238,-0.01276,-0.012173
6107_2023,0.02956,0.014492,0.013644,0.015516,0.014779
6111_2015,0.321789,0.165099,0.159383,0.176626,0.172644
6111_2016,0.02408,0.013367,0.012944,0.014299,0.014021
6111_2017,0.090265,0.056911,0.0551,0.06088,0.059685
6111_2018,0.105774,0.065272,0.063056,0.069828,0.068303
6112_2015,0.225383,0.078344,0.075617,0.083814,0.081909
6112_2016,-0.416087,-0.147746,-0.143084,-0.158046,-0.15499
6118_2016,0.101937,0.040384,0.03923,0.043195,0.042495
6118_2017,-0.230479,-0.114455,-0.111538,-0.122411,-0.120818
6118_2018,0.041331,0.024893,0.02496,0.026599,0.027036
6119_2016,-0.015523,-0.003343,-0.003239,-0.003576,-0.003508
6123_2019,0.067555,0.025366,0.023398,0.027173,0.025345
6125_2017,0.0,0.0,0.0,0.0,0.0
6125_2018,0.021604,0.004625,0.004481,0.004947,0.004854
6125_2019,-0.031975,-0.008971,-0.008752,-0.009595,-0.00948
6125_2020,0.033315,0.009553,0.009075,0.010225,0.00983
6130_2017,-0.233392,-0.016995,-0.015976,-0.018195,-0.017306
6130_2018,0.025544,0.004305,0.004057,0.004608,0.004395
6131_2020,0.76535,0.072718,0.069021,0.077834,0.074764
6131_2021,0.838984,0.138933,0.131828,0.14871,0.142796
6133_2020,-0.046178,-0.014431,-0.013127,-0.015465,-0.014219
6134_2020,0.040948,0.013202,0.012367,0.014136,0.013396
6134_2021,0.023676,0.011519,0.01085,0.012332,0.011753
6134_2022,0.062246,0.03731,0.035194,0.039942,0.038122
6134_2023,0.317134,0.210557,0.197846,0.225438,0.214308
623_2014,-0.045718,-0.038455,-0.036746,-0.041153,-0.039804
623_2016,-0.058994,-0.052508,-0.051002,-0.056164,-0.055245
623_2017,-0.058211,-0.04991,-0.047283,-0.053424,-0.051217
623_2019,0.014351,0.012911,0.012732,0.013804,0.013791
623_2020,0.0,0.0,0.0,0.0,0.0
623_2021,-0.03486,-0.033452,-0.032901,-0.035766,-0.035638
623_2022,0.025327,0.026363,0.025467,0.028203,0.027585
623_2023,-0.080142,-0.086405,-0.081967,-0.092485,-0.088787
623_2024,-0.030651,-0.033321,-0.031493,-0.03567,-0.034114
727_2014,-0.069021,-0.045865,-0.0452,-0.049036,-0.048961
727_2015,-0.024005,-0.015764,-0.015152,-0.016867,-0.016413
727_2016,-0.028866,-0.019231,-0.018502,-0.020576,-0.020041
727_2017,-0.05903,-0.040739,-0.039205,-0.043587,-0.042467
727_2018,-0.000564,-0.000385,-0.000371,-0.000412,-0.000401
727_2019,0.025837,0.017637,0.017036,0.018868,0.018453
727_2020,-0.012704,-0.008655,-0.008358,-0.00926,-0.009053
727_2021,-0.037863,-0.02604,-0.025114,-0.027859,-0.027203
727_2022,-0.021917,-0.015027,-0.014441,-0.016078,-0.015643
727_2023,-0.00137,-0.000996,-0.000951,-0.001066,-0.001031
727_2024,0.052682,0.038413,0.037297,0.041087,0.040401
780_2015,-0.054058,-0.036432,-0.034971,-0.038982,-0.037881
780_2016,-0.044763,-0.031358,-0.030199,-0.03355,-0.032712
780_2018,0.088464,0.064212,0.061937,0.068697,0.06709
780_2019,-0.117064,-0.081089,-0.078787,-0.086734,-0.085342
780_2020,-0.049314,-0.029619,-0.029311,-0.031663,-0.031749
