selection_type,observation_id,syndicate_id,report_year,opening_reserves,signed_pyd_amount,signed_pyd_ratio,hhi,hellinger_distance,log_reserve_ratio_to_target,selection_reason
size_mismatch,1729_2016,1729,2016,26.778,0.822,0.030696840690118753,0.3113050186609954,0.651114,-3.189392,Max |log(R_i/R_q)| within HHI tolerance
mix_mismatch,1274_2015,1274,2015,446.119,23.366,0.052376159724199144,0.4890486097902354,0.967766,-0.376387,Max Hellinger distance within size tolerance
